ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
18373642057,"4 mai 2026, 14:35:38",Séance de kinésithérapie l’après-midi,Entraînement,,4188,0,148.0,8,false,,,activities/19477961040.fit.gz,,,4188.0,4188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,148.0,102.0,,,291.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18357502653,"3 mai 2026, 09:43:59",Course à pied le midi,Course à pied,,2883,"7,00",156.0,11,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19461624856.fit.gz,,,2883.0,2875.0,7006.2,4.1,2.437,62.0,71.0,91.0,109.2,6.3,-0.1,,,,,156.0,140.0,,175.0,432.0,,,11.0,,,,,,,,,175.0,2884.0,,,0.0,,1.0,7064.2,1777798800.0,5.0,16.1,13.3,13.2,0.83,1011.8,3.9,7.3,210.0,1.0,1777781597.0,1777835218.0,0.625,,28147711.0,0.9,5.0,0.99,6745.3,2.0,,,,,,2.43,0.0,,,,7232.0,0.0,,102.0,113.0,2.457,,,,,,,,,,,,media/6eb36367-2556-4056-a808-9763bcc0d38a.jpg
18297480134,"28 avr. 2026, 17:33:00",Course à pied le soir,Course à pied,"",1811,"4,72",,,false,,Adidas Adizero EVO SL Faaaaast 🚀,,,,1811.0,1811.0,4728.5,,2.611,,,,,,0.0,,,,,,,,,407.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,28147711.0,,,,,,,,,,,2.611,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18215154848,"22 avr. 2026, 16:31:28",Course à pied en soirée,Course à pied,,2344,"5,67",185.0,18,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19317896636.fit.gz,,,2344.0,2299.0,5677.2,4.9,2.469,50.2,60.4,81.2,107.8,6.8,-0.2,,,,,185.0,150.0,,181.0,372.0,,,18.0,,,,,,,,,189.0,2346.0,,,0.0,,1.0,5756.3,1776873600.0,1.0,17.1,15.3,2.7,0.38,1024.9,5.5,10.4,74.0,0.0,1776832442.0,1776883755.0,0.125,,28147711.0,0.0,1.0,0.0,29723.1,1.0,,,,,,2.422,247.8,,,,5350.0,0.0,,96.0,122.0,2.504,,,,,,,,,,,,""
18176843038,"19 avr. 2026, 10:59:27",Course à pied le midi,Course à pied,,3721,"8,09",159.0,15,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19279330751.fit.gz,,,3721.0,3714.0,8090.8,3.58,2.178,79.8,88.8,90.8,113.6,11.9,-0.1,,,,,159.0,145.0,,159.0,558.0,,,15.0,,,,,,,,,159.0,3721.0,,,0.0,,1.0,8192.4,1776592800.0,2.0,13.5,11.6,7.1,0.65,1022.9,3.5,7.0,332.0,0.0,1776573620.0,1776624275.0,0.125,,28147711.0,0.0,1.0,0.6,22028.0,3.0,,,,,,2.174,348.2,,,,8614.0,0.0,,109.0,103.0,2.206,,,,,,,,,,,,""
18168719775,"17 avr. 2026, 14:47:21",Course à pied dans l'après-midi,Course à pied,,2371,"5,50",185.0,26,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19271101832.fit.gz,,,2371.0,2315.0,5504.0,4.42,2.378,54.0,59.8,92.0,109.2,10.8,-0.1,,,,,185.0,158.0,,175.0,402.0,,,26.0,,,,,,,,,175.0,2372.0,,,0.0,,1.0,5603.1,1776434400.0,3.0,19.2,17.4,7.7,0.47,1020.7,3.0,6.2,232.0,0.0,1776401058.0,1776451276.0,0.875,,28147711.0,0.0,1.0,0.87,30169.6,3.0,,,,,,2.321,177.1,,,,5462.0,0.0,,84.0,113.0,2.42,,,,,,,,,,,,""
18121369344,"15 avr. 2026, 15:14:10",Course à pied dans l'après-midi,Course à pied,,2434,"5,59",165.0,11,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19223316002.fit.gz,,,2434.0,2434.0,5591.2,3.46,2.297,51.6,60.6,92.2,109.6,9.1,-0.2,,,,,165.0,147.0,,166.0,398.0,,,11.0,,,,,,,,,167.0,2435.0,,,0.0,,1.0,5656.2,1776265200.0,3.0,18.6,15.1,6.4,0.45,1018.5,5.0,9.2,205.0,0.0,1776228510.0,1776278284.0,0.875,,28147711.0,0.0,1.0,0.8,29700.7,2.0,,,,,,2.297,0.0,,,,5584.0,0.0,,78.0,108.0,2.324,,,,,,,,,,,,""
18121369247,"12 avr. 2026, 08:41:08",Course à pied le matin,Course à pied,,3570,"9,44",197.0,100,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19223316048.fit.gz,,,3570.0,3552.0,9439.5,4.34,2.658,127.6,135.4,86.8,120.6,15.6,-0.1,,,,,197.0,175.0,,196.0,766.0,,,100.0,,,,,,,,,198.0,3573.0,,,0.0,,1.0,9625.1,1775980800.0,3.0,9.2,3.9,5.0,0.75,1016.0,4.8,8.5,207.0,0.0,1775969686.0,1776018788.0,0.875,,28147711.0,0.0,1.0,0.93,26409.1,1.0,,,,,,2.644,3898.6,,,,9006.0,0.0,,162.0,128.0,2.71,,,,,,,,,,,,""
18121369103,"12 avr. 2026, 08:37:50",Course à pied le matin,Course à pied,,178,"0,45",152.0,0,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19223316000.fit.gz,,,178.0,175.0,457.6,3.32,2.615,5.8,4.0,93.2,99.0,4.4,-0.3,,,,,152.0,142.0,,193.0,29.0,,,0.0,,,,,,,,,184.0,179.0,,,0.0,,1.0,467.1,1775980800.0,3.0,9.2,3.9,5.0,0.75,1016.0,4.8,8.5,207.0,0.0,1775969686.0,1776018788.0,0.875,,28147711.0,0.0,1.0,0.93,26409.1,1.0,,,,,,2.571,0.0,,,,438.0,0.0,,7.0,119.0,2.669,,,,,,,,,,,,""
17207664047,"28 janv. 2026, 16:51:08",Course à pied dans l'après-midi,Course à pied,,1795,"4,68",174.0,22,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/18303208640.fit.gz,,,1795.0,1791.0,4682.3,4.78,2.614,44.4,55.8,91.8,112.8,7.3,-0.3,,,,,174.0,161.0,,188.0,335.0,,,22.0,,,,,,,,,189.0,1796.0,,,0.0,,1.0,4731.8,1769616000.0,3.0,6.0,6.0,4.8,0.92,995.7,1.6,3.0,359.0,0.0,1769585067.0,1769617644.0,0.375,,28147711.0,0.0,1.0,0.99,21427.4,0.0,,,,,,2.609,21.4,,,,4568.0,0.0,,74.0,122.0,2.642,,,,,,,,,,,,""
17096960657,"18 janv. 2026, 18:40:52",Course à pied en soirée,Course à pied,,2022,"4,77",174.0,27,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/18191668850.fit.gz,,,2022.0,2019.0,4769.1,4.4,2.362,46.8,54.0,93.4,113.4,7.0,-0.2,,,,,174.0,161.0,,170.0,336.0,,,27.0,,,,,,,,,171.0,2023.0,,,0.0,,1.0,4827.6,1768759200.0,1.0,6.0,4.9,3.8,0.86,1018.1,1.7,3.5,96.0,0.0,1768721754.0,1768752643.0,0.875,,28147711.0,0.0,1.0,0.19,30122.2,0.0,,,,,,2.359,0.0,,,,5032.0,0.0,,68.0,110.0,2.391,,,,,,,,,,,,""
17073466335,"16 janv. 2026, 20:00:02",Course à pied de nuit,Course à pied,,2326,"6,01",186.0,49,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/18167867762.fit.gz,,,2326.0,2326.0,6017.0,3.7,2.587,57.2,65.0,89.2,113.4,6.1,-0.1,,,,,186.0,169.0,,187.0,401.0,,,49.0,,,,,,,,,188.0,2327.0,,,0.0,,1.0,6079.0,1768593600.0,3.0,7.4,6.5,5.7,0.89,1014.5,2.2,4.7,146.0,0.0,1768549055.0,1768579637.0,0.875,,28147711.0,0.0,1.0,0.97,29220.6,0.0,,,,,,2.587,0.0,,,,5826.0,0.0,,94.0,121.0,2.613,,,,,,,,,,,,""
16630024718,"2 déc. 2025, 15:50:03",🏃 Répétitions en côte plus courtes • 5 km,Course à pied,10-12x 30 sec RPE 8-9,2397,"4,48",180.0,16,false,,Nike Winflo 11 Flash,activities/17718753195.fit.gz,,,2397.0,2265.0,4483.8,6.0,1.98,114.4,79.4,63.4,98.8,23.0,0.8,,,,,180.0,153.0,,176.0,341.0,,,16.0,,,,,,,,,179.0,2399.0,,,0.0,,1.0,4802.8,1764687600.0,3.0,8.6,4.9,4.6,0.76,1008.7,4.0,8.1,191.0,0.0,1764660247.0,1764689966.0,0.375,,23773317.0,0.0,1.0,0.98,35717.2,0.0,,,,,,1.871,2908.7,,,,4712.0,0.0,,88.0,115.0,2.12,,,0.0,,,,,,,,,media/611CBAEA-A4AC-4C1B-B45F-6BEBCF34333F.jpg|media/4E58162A-23C9-480C-B080-D2FFD8164640.jpg
16629944411,"2 déc. 2025, 15:28:33",Course à pied dans l'après-midi,Course à pied,Échauffement avant séance Côte,1116,"2,60",177.0,4,false,,Nike Winflo 11 Flash,activities/17718673146.fit.gz,,,1116.0,1077.0,2603.1,5.48,2.417,19.8,45.0,63.0,99.6,19.0,-1.0,,,,,177.0,138.0,,176.0,160.0,,,4.0,,,,,,,,,174.0,1119.0,,,0.0,,1.0,2600.6,1764687600.0,3.0,8.6,4.9,4.6,0.76,1008.7,4.0,8.1,191.0,0.0,1764660247.0,1764689966.0,0.375,,23773317.0,0.0,1.0,0.98,35717.2,0.0,,,,,,2.333,874.1,,,,2598.0,0.0,,39.0,112.0,2.415,,,0.0,,,,,,,,,""
16618446243,"1 déc. 2025, 11:20:01",Entraînement aux poids le midi,Entraînement aux poids,,6140,0,140.0,13,false,,,activities/17707018705.fit.gz,,,6140.0,6140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,140.0,104.0,,,419.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
16610827811,"30 nov. 2025, 12:56:07",Course à pied dans l'après-midi,Course à pied,"Sortie longue • 13km • 1 h 20 min - 1 h 30 min

4 km à une allure conversationnelle
4,5 km : 6:10/km
4 km : 5:50/km
Retour au calme",4980,"13,00",172.0,47,false,,Nike Winflo 11 Flash,activities/17699253085.fit.gz,,,4980.0,4976.0,13002.8,4.3,2.613,99.4,140.4,56.8,114.2,8.2,-0.3,,,,,172.0,154.0,,187.0,819.0,,,47.0,,,,,,,,,190.0,4981.0,,,0.0,,1.0,13059.0,1764504000.0,3.0,6.6,1.3,3.2,0.79,1013.1,5.4,10.6,272.0,0.0,1764487290.0,1764517248.0,0.375,,23773317.0,0.0,1.0,0.68,35039.5,1.0,,,,,,2.611,0.0,,,,12768.0,0.0,,208.0,123.0,2.624,,,0.0,,,,,,,,,media/89658059-AF0B-4002-8C2F-1D0F1EF13E06.jpg
16593308158,"28 nov. 2025, 17:28:37",Course facile 5K,Course à pied,"",2240,"5,02",164.0,10,false,,Nike Winflo 11 Flash,activities/17681376998.fit.gz,,,2240.0,2222.0,5021.0,3.54,2.26,45.0,45.8,81.8,103.8,12.0,0.0,,,,,164.0,147.0,,166.0,328.0,,,10.0,,,,,,,,,165.0,2242.0,,,0.0,,1.0,5091.6,1764349200.0,3.0,9.7,5.6,8.4,0.92,1013.5,4.8,9.6,216.0,0.0,1764314322.0,1764344533.0,0.25,,23773317.0,0.69,5.0,0.97,21431.8,0.0,,,,,,2.242,200.3,,,,5398.0,0.0,,70.0,106.0,2.291,,,0.0,,,,,,,,,""
16582939923,"27 nov. 2025, 14:49:13",Course à pied dans l'après-midi,Course à pied,"",2416,"6,06",181.0,25,false,,Nike Winflo 11 Flash,activities/17670817886.fit.gz,,,2416.0,2404.0,6059.4,4.18,2.521,60.8,70.2,91.6,110.4,12.7,-0.2,,,,,181.0,156.0,,183.0,395.0,,,25.0,,,,,,6.0,,,189.0,2414.0,0.0,63.0,0.0,,1.0,6138.2,1764252000.0,3.0,6.9,0.0,4.8,0.86,1018.5,6.1,11.8,206.0,0.0,1764227840.0,1764258173.0,0.125,,23773317.0,0.0,1.0,0.99,22239.8,0.0,,,,,,2.508,0.0,,,,5838.0,0.0,,99.0,122.0,2.553,,,0.0,,,,,,,,,media/e10e6709-e7df-485c-8a2b-9e014bc9ff6d.jpg|media/64920AAC-CBCD-4234-9593-310879A48E19.jpg
16564007004,"25 nov. 2025, 16:53:57",Course à pied dans l'après-midi,Course à pied,,2271,"5,28",162.0,8,false,,Nike Winflo 11 Flash,activities/17651576150.fit.gz,,,2271.0,2267.0,5282.3,3.32,2.33,55.6,56.8,79.2,99.6,12.8,0.0,,,,,162.0,138.0,,168.0,336.0,,,8.0,,,,,,,,,169.0,2270.0,,,0.0,,1.0,5367.5,1764086400.0,1.0,6.4,2.8,3.9,0.84,1009.9,3.5,7.4,338.0,0.0,1764054851.0,1764085463.0,0.125,,23773317.0,0.77,5.0,0.35,30633.6,0.0,,,,,,2.326,0.0,,,,5594.0,0.0,,74.0,109.0,2.368,,,,,,,,,,,,media/1e586cba-2851-4896-b71f-199afa2f7800.jpg
16543061292,"23 nov. 2025, 11:11:08",Course à pied le midi,Course à pied,Limité à 8-9km pour pas augmenter la charge trop vite,4432,"9,29",160.0,19,false,,Nike Winflo 11 Flash,activities/17630326502.fit.gz,,,4432.0,3985.0,9296.1,3.4,2.333,101.2,99.0,80.8,113.8,20.4,0.0,,,,,160.0,147.0,,171.0,605.0,,,19.0,,,,,,,,,170.0,4184.0,,,0.0,,1.0,9572.7,1763895600.0,5.0,2.3,-7.2,-0.3,0.83,1006.2,7.3,14.2,188.0,0.3,1763881871.0,1763912788.0,0.125,,23773317.0,0.8,6.0,0.96,25796.8,1.0,,,,,,2.098,0.0,,,,9930.0,0.0,,140.0,110.0,2.402,,,0.0,,,,,,,,,media/14830ef7-1d0b-49d5-9d98-14186696bc8c.jpg
16526216752,"21 nov. 2025, 17:14:03",Course progressive,Course à pied,"Programme marathon (Semaine 1/20)

1 km d'échauffement à une allure conversationnelle (pas plus rapide que 6:35/km)

1,5 km : 6:10/km
1,5 km : 5:45/km
1,5 km : 5:35/km, Marche de repos de 90 s

500 m de retour au calme à une allure conversationnelle, ou plus lentement ! Puisque vous avez travaillé à une intensité particulièrement élevée aujourd'hui avec un temps de retour au calme semi-court, marchez pendant 5 à 10 minutes pour terminer la séance d'entraînement.",2926,"7,55",182.0,41,false,,Nike Winflo 11 Flash,activities/17613241719.fit.gz,,,2926.0,2914.0,7558.4,4.66,2.594,72.2,78.4,90.0,109.2,10.9,-0.1,,,,,182.0,160.0,,186.0,499.0,,,41.0,,,,,,,,,191.0,2927.0,,,0.0,,1.0,7633.0,1763744400.0,1.0,2.5,2.0,-0.6,0.8,1027.0,1.1,2.1,348.0,0.0,1763708888.0,1763740111.0,0.125,,23773317.0,0.32,5.0,0.07,32138.3,0.0,,,,,,2.583,338.0,,,,7338.0,0.0,,123.0,123.0,2.619,,,0.0,,,,,,,,,media/26f901ea-11ba-4e80-b64a-60f693857901.jpg
16504305318,"19 nov. 2025, 11:19:13",Répétitions de 1 km avec Runna ✅,Course à pied,"Programme marathon (Semaine 1/20)

2 km d'échauffement à une allure conversationnelle (pas plus rapide que 6:35/km), Marche de repos de 90 s

4 répétitions de:
• 1 km : 5:30/km (5:20-5:40/km), Marche de repos de 90 s

1,5 km de retour au calme à une allure conversationnelle (ou plus lentement !)",3637,"8,84",175.0,42,false,,Nike Winflo 11 Flash,activities/17591106598.fit.gz,,,3637.0,3489.0,8844.4,5.243,2.535,76.3,76.6,95.3,114.5,6.4,0.0,,,,,175.0,155.0,,,767.0,,,42.0,,,,,,,,,,,,,0.0,,1.0,8922.2,1763550000.0,5.0,5.8,0.4,4.3,0.9,1001.8,4.6,9.8,218.0,0.3,1763535890.0,1763567437.0,0.875,,23773317.0,0.93,5.0,0.97,15466.5,1.0,,,,,,2.432,165.5,,,,,0.0,,,,2.557,,,,,,,,,,,,""
16473097329,"16 nov. 2025, 08:46:31",Course à pied le matin,Course à pied,,5261,"12,08",162.0,26,false,,Nike Winflo 11 Flash,activities/17559652427.fit.gz,,,5261.0,5240.0,12088.7,3.62,2.307,108.2,106.4,57.0,105.0,28.3,0.0,,,,,162.0,146.0,,175.0,843.0,,,26.0,,,,,,,,,176.0,5262.0,,,0.0,,1.0,12234.0,1763280000.0,3.0,9.4,8.2,8.7,0.96,1007.8,2.3,4.7,13.0,0.0,1763276383.0,1763308438.0,0.875,,23773317.0,0.92,5.0,0.99,11291.3,0.0,,,,,,2.298,680.9,,,,12856.0,0.0,,189.0,114.0,2.335,,,,,,,,,,,,media/1214bf70-a27d-4cc2-a18b-440f2833d378.jpg
